Index;Title;Result;Request;Response Status;Response Time;Type;
1;listTasks - no authentication;OK;;;;OK;
1.0;listTasks;OK;Request GET http://debauve.qatest.dataiku.com:80/;200;0:00:00.013642;;
2;Authenticate - valid credentials;OK;;;;OK;
2.0;setCredentials;OK;setCredentials;0;[];;
2.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.015960;;
3;Authenticate - invalid credentials;OK;;;;NOK;
3.0;setCredentials;OK;setCredentials;0;[];;
3.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;401;0:00:00.012777;;
4;Create new user with existing password;NOK;;;;OK;
4.0;createUser;NOK;Request POST http://debauve.qatest.dataiku.com:80/users;500;0:00:00.012855;;
5;Create new user with new password;OK;;;;OK;
5.0;createUser;OK;Request POST http://debauve.qatest.dataiku.com:80/users;200;0:00:00.020650;;
5.1;setCredentials;OK;setCredentials;0;[];;
5.2;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.015966;;
6;Create new user with existing username;NOK;;;;NOK;
6.0;createUser;NOK;Request POST http://debauve.qatest.dataiku.com:80/users;500;0:00:00.017194;;
7;Create new task without tags while not authentified;OK;;;;NOK;
7.0;createTask;OK;Request PUT http://debauve.qatest.dataiku.com:80/;401;0:00:00.016229;;
8;Create new task without tags while authentified;NOK;;;;OK;
8.0;setCredentials;OK;setCredentials;0;[];;
8.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.017655;;
8.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.020263;;
9;2nd Create new task without tags while authentified;NOK;;;;OK;
9.0;setCredentials;OK;setCredentials;0;[];;
9.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.013764;;
9.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.017024;;
10;Create new task with title > 20 while authentified;NOK;;;;NOK;
10.0;setCredentials;OK;setCredentials;0;[];;
10.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.017689;;
10.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.020538;;
11;Create new task with unexisting tags while authentified;NOK;;;;OK;
11.0;setCredentials;OK;setCredentials;0;[];;
